Region;Delegation;Sown Year;Sown Area (khas);Harvested Area (khas);Yield by Delegation (tn/has);Production (kTn);ENSO;Month;PH /HW;Protein;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;June;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;June;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;June;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;June;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;June;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;June;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;June;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;June;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;June;76,64172868;13,41062621;
C BA;BRAGADO;2008;67;66,33;3,2;212,256;LA NIÑA;Jul;80,1012229;11,48183964;
C BA;BOLIVAR;2008;70;68,6;3,9;267,54;LA NIÑA;Jul;81,69747277;10,65967391;
SW BA;B BLANCA;2008;360;349,2;0,9;314,28;LA NIÑA;Jul;79,40845043;11,75028184;
N BA;JUNIN;2008;85;84,15;2,9;244,035;LA NIÑA;Jul;78,84969572;12,36839656;
W BA;LINCOLN;2008;175;175;3,3;577,5;LA NIÑA;Jul;78,52373942;12,08071999;
W BA;PEHUAJO;2008;125;122,5;3,1;379,75;LA NIÑA;Jul;79,16243843;12,34666936;
N BA;PERGAMINO;2008;95;93,1;2,3;214,13;LA NIÑA;Jul;77,36130885;13,40427069;
SW BA;PIGUE;2008;380;364,8;1,6;583,68;LA NIÑA;Jul;79,17108595;13,18694692;
C BA;SALIQUELLO;2008;108;104,76;2,1;219,996;LA NIÑA;Jul;79,98648271;12,29350821;
SE BA;TANDIL;2008;385;381,15;3,5;1334,025;LA NIÑA;Jul;80,23342291;11,49599147;
SE BA;TRES ARROYOS;2008;860;851,4;2,4;2043,36;LA NIÑA;Jul;79,71473756;12,80239557;
C BA;25 DE MAYO;2008;106;104,94;3,5;367,29;LA NIÑA;Jul;81,21149281;11,35170899;
S SFE;CASILDA;2008;90;89,1;1,5;133,65;LA NIÑA;Jul;76,80884205;13,18605547;
C SFE;CDA GOMEZ;2008;114;111,72;1,5;167,58;LA NIÑA;Jul;77,44525781;13,72744945;
N SFE;RAFAELA;2008;126;119,7;1,5;179,55;LA NIÑA;Jul;76,11518707;13,24694525;
N SFE;AVELLANEDA;2008;30;27,6;1,3;35,88;LA NIÑA;Jul;80,44627106;11,65266353;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;Jul;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;Jul;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;Jul;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;Jul;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;Jul;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;Jul;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;Jul;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;Jul;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;Jul;76,64172868;13,41062621;
C BA;BRAGADO;2008;67;66,33;3,2;212,256;LA NIÑA;Aug;80,1012229;11,48183964;
C BA;BOLIVAR;2008;70;68,6;3,9;267,54;LA NIÑA;Aug;81,69747277;10,65967391;
SW BA;B BLANCA;2008;360;349,2;0,9;314,28;LA NIÑA;Aug;79,40845043;11,75028184;
N BA;JUNIN;2008;85;84,15;2,9;244,035;LA NIÑA;Aug;78,84969572;12,36839656;
W BA;LINCOLN;2008;175;175;3,3;577,5;LA NIÑA;Aug;78,52373942;12,08071999;
W BA;PEHUAJO;2008;125;122,5;3,1;379,75;LA NIÑA;Aug;79,16243843;12,34666936;
N BA;PERGAMINO;2008;95;93,1;2,3;214,13;LA NIÑA;Aug;77,36130885;13,40427069;
SW BA;PIGUE;2008;380;364,8;1,6;583,68;LA NIÑA;Aug;79,17108595;13,18694692;
C BA;SALIQUELLO;2008;108;104,76;2,1;219,996;LA NIÑA;Aug;79,98648271;12,29350821;
SE BA;TANDIL;2008;385;381,15;3,5;1334,025;LA NIÑA;Aug;80,23342291;11,49599147;
SE BA;TRES ARROYOS;2008;860;851,4;2,4;2043,36;LA NIÑA;Aug;79,71473756;12,80239557;
C BA;25 DE MAYO;2008;106;104,94;3,5;367,29;LA NIÑA;Aug;81,21149281;11,35170899;
S SFE;CASILDA;2008;90;89,1;1,5;133,65;LA NIÑA;Aug;76,80884205;13,18605547;
C SFE;CDA GOMEZ;2008;114;111,72;1,5;167,58;LA NIÑA;Aug;77,44525781;13,72744945;
N SFE;RAFAELA;2008;126;119,7;1,5;179,55;LA NIÑA;Aug;76,11518707;13,24694525;
N SFE;AVELLANEDA;2008;30;27,6;1,3;35,88;LA NIÑA;Aug;80,44627106;11,65266353;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;Aug;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;Aug;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;Aug;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;Aug;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;Aug;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;Aug;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;Aug;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;Aug;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;Aug;76,64172868;13,41062621;
C BA;BRAGADO;2008;67;66,33;3,2;212,256;LA NIÑA;Sep;80,1012229;11,48183964;
C BA;BOLIVAR;2008;70;68,6;3,9;267,54;LA NIÑA;Sep;81,69747277;10,65967391;
SW BA;B BLANCA;2008;360;349,2;0,9;314,28;LA NIÑA;Sep;79,40845043;11,75028184;
N BA;JUNIN;2008;85;84,15;2,9;244,035;LA NIÑA;Sep;78,84969572;12,36839656;
W BA;LINCOLN;2008;175;175;3,3;577,5;LA NIÑA;Sep;78,52373942;12,08071999;
W BA;PEHUAJO;2008;125;122,5;3,1;379,75;LA NIÑA;Sep;79,16243843;12,34666936;
N BA;PERGAMINO;2008;95;93,1;2,3;214,13;LA NIÑA;Sep;77,36130885;13,40427069;
SW BA;PIGUE;2008;380;364,8;1,6;583,68;LA NIÑA;Sep;79,17108595;13,18694692;
C BA;SALIQUELLO;2008;108;104,76;2,1;219,996;LA NIÑA;Sep;79,98648271;12,29350821;
SE BA;TANDIL;2008;385;381,15;3,5;1334,025;LA NIÑA;Sep;80,23342291;11,49599147;
SE BA;TRES ARROYOS;2008;860;851,4;2,4;2043,36;LA NIÑA;Sep;79,71473756;12,80239557;
C BA;25 DE MAYO;2008;106;104,94;3,5;367,29;LA NIÑA;Sep;81,21149281;11,35170899;
S SFE;CASILDA;2008;90;89,1;1,5;133,65;LA NIÑA;Sep;76,80884205;13,18605547;
C SFE;CDA GOMEZ;2008;114;111,72;1,5;167,58;LA NIÑA;Sep;77,44525781;13,72744945;
N SFE;RAFAELA;2008;126;119,7;1,5;179,55;LA NIÑA;Sep;76,11518707;13,24694525;
N SFE;AVELLANEDA;2008;30;27,6;1,3;35,88;LA NIÑA;Sep;80,44627106;11,65266353;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;Sep;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;Sep;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;Sep;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;Sep;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;Sep;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;Sep;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;Sep;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;Sep;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;Sep;76,64172868;13,41062621;
C BA;BRAGADO;2008;67;66,33;3,2;212,256;LA NIÑA;Oct;80,1012229;11,48183964;
C BA;BOLIVAR;2008;70;68,6;3,9;267,54;LA NIÑA;Oct;81,69747277;10,65967391;
SW BA;B BLANCA;2008;360;349,2;0,9;314,28;LA NIÑA;Oct;79,40845043;11,75028184;
N BA;JUNIN;2008;85;84,15;2,9;244,035;LA NIÑA;Oct;78,84969572;12,36839656;
W BA;LINCOLN;2008;175;175;3,3;577,5;LA NIÑA;Oct;78,52373942;12,08071999;
W BA;PEHUAJO;2008;125;122,5;3,1;379,75;LA NIÑA;Oct;79,16243843;12,34666936;
N BA;PERGAMINO;2008;95;93,1;2,3;214,13;LA NIÑA;Oct;77,36130885;13,40427069;
SW BA;PIGUE;2008;380;364,8;1,6;583,68;LA NIÑA;Oct;79,17108595;13,18694692;
C BA;SALIQUELLO;2008;108;104,76;2,1;219,996;LA NIÑA;Oct;79,98648271;12,29350821;
SE BA;TANDIL;2008;385;381,15;3,5;1334,025;LA NIÑA;Oct;80,23342291;11,49599147;
SE BA;TRES ARROYOS;2008;860;851,4;2,4;2043,36;LA NIÑA;Oct;79,71473756;12,80239557;
C BA;25 DE MAYO;2008;106;104,94;3,5;367,29;LA NIÑA;Oct;81,21149281;11,35170899;
S SFE;CASILDA;2008;90;89,1;1,5;133,65;LA NIÑA;Oct;76,80884205;13,18605547;
C SFE;CDA GOMEZ;2008;114;111,72;1,5;167,58;LA NIÑA;Oct;77,44525781;13,72744945;
N SFE;RAFAELA;2008;126;119,7;1,5;179,55;LA NIÑA;Oct;76,11518707;13,24694525;
N SFE;AVELLANEDA;2008;30;27,6;1,3;35,88;LA NIÑA;Oct;80,44627106;11,65266353;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;Oct;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;Oct;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;Oct;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;Oct;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;Oct;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;Oct;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;Oct;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;Oct;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;Oct;76,64172868;13,41062621;
C BA;BRAGADO;2008;67;66,33;3,2;212,256;LA NIÑA;Nov;80,1012229;11,48183964;
C BA;BOLIVAR;2008;70;68,6;3,9;267,54;LA NIÑA;Nov;81,69747277;10,65967391;
SW BA;B BLANCA;2008;360;349,2;0,9;314,28;LA NIÑA;Nov;79,40845043;11,75028184;
N BA;JUNIN;2008;85;84,15;2,9;244,035;LA NIÑA;Nov;78,84969572;12,36839656;
W BA;LINCOLN;2008;175;175;3,3;577,5;LA NIÑA;Nov;78,52373942;12,08071999;
W BA;PEHUAJO;2008;125;122,5;3,1;379,75;LA NIÑA;Nov;79,16243843;12,34666936;
N BA;PERGAMINO;2008;95;93,1;2,3;214,13;LA NIÑA;Nov;77,36130885;13,40427069;
SW BA;PIGUE;2008;380;364,8;1,6;583,68;LA NIÑA;Nov;79,17108595;13,18694692;
C BA;SALIQUELLO;2008;108;104,76;2,1;219,996;LA NIÑA;Nov;79,98648271;12,29350821;
SE BA;TANDIL;2008;385;381,15;3,5;1334,025;LA NIÑA;Nov;80,23342291;11,49599147;
SE BA;TRES ARROYOS;2008;860;851,4;2,4;2043,36;LA NIÑA;Nov;79,71473756;12,80239557;
C BA;25 DE MAYO;2008;106;104,94;3,5;367,29;LA NIÑA;Nov;81,21149281;11,35170899;
S SFE;CASILDA;2008;90;89,1;1,5;133,65;LA NIÑA;Nov;76,80884205;13,18605547;
C SFE;CDA GOMEZ;2008;114;111,72;1,5;167,58;LA NIÑA;Nov;77,44525781;13,72744945;
N SFE;RAFAELA;2008;126;119,7;1,5;179,55;LA NIÑA;Nov;76,11518707;13,24694525;
N SFE;AVELLANEDA;2008;30;27,6;1,3;35,88;LA NIÑA;Nov;80,44627106;11,65266353;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;Nov;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;Nov;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;Nov;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;Nov;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;Nov;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;Nov;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;Nov;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;Nov;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;Nov;76,64172868;13,41062621;
C BA;BRAGADO;2008;67;66,33;3,2;212,256;LA NIÑA;Dec;80,1012229;11,48183964;
C BA;BOLIVAR;2008;70;68,6;3,9;267,54;LA NIÑA;Dec;81,69747277;10,65967391;
SW BA;B BLANCA;2008;360;349,2;0,9;314,28;LA NIÑA;Dec;79,40845043;11,75028184;
N BA;JUNIN;2008;85;84,15;2,9;244,035;LA NIÑA;Dec;78,84969572;12,36839656;
W BA;LINCOLN;2008;175;175;3,3;577,5;LA NIÑA;Dec;78,52373942;12,08071999;
W BA;PEHUAJO;2008;125;122,5;3,1;379,75;LA NIÑA;Dec;79,16243843;12,34666936;
N BA;PERGAMINO;2008;95;93,1;2,3;214,13;LA NIÑA;Dec;77,36130885;13,40427069;
SW BA;PIGUE;2008;380;364,8;1,6;583,68;LA NIÑA;Dec;79,17108595;13,18694692;
C BA;SALIQUELLO;2008;108;104,76;2,1;219,996;LA NIÑA;Dec;79,98648271;12,29350821;
SE BA;TANDIL;2008;385;381,15;3,5;1334,025;LA NIÑA;Dec;80,23342291;11,49599147;
SE BA;TRES ARROYOS;2008;860;851,4;2,4;2043,36;LA NIÑA;Dec;79,71473756;12,80239557;
C BA;25 DE MAYO;2008;106;104,94;3,5;367,29;LA NIÑA;Dec;81,21149281;11,35170899;
S SFE;CASILDA;2008;90;89,1;1,5;133,65;LA NIÑA;Dec;76,80884205;13,18605547;
C SFE;CDA GOMEZ;2008;114;111,72;1,5;167,58;LA NIÑA;Dec;77,44525781;13,72744945;
N SFE;RAFAELA;2008;126;119,7;1,5;179,55;LA NIÑA;Dec;76,11518707;13,24694525;
N SFE;AVELLANEDA;2008;30;27,6;1,3;35,88;LA NIÑA;Dec;80,44627106;11,65266353;
S CBA;LABOULAYE;2008;65;63,05;1,7;107,185;LA NIÑA;Dec;78,65916461;12,63984088;
E CBA;M JUAREZ;2008;200;194;1,7;329,8;LA NIÑA;Dec;76,77980361;13,45390658;
S CBA;RIO IV;2008;105;96,6;1,7;164,22;LA NIÑA;Dec;81,99243962;11,34764224;
N CBA;S FRANCISCO;2008;175;161;1,5;241,5;LA NIÑA;Dec;79,60992188;11,68749744;
C CBA;VILLA MARIA;2008;170;164,9;2;329,8;LA NIÑA;Dec;78,26423026;11,66899109;
ER;PARANA;2008;100;98;2,1;205,8;LA NIÑA;Dec;80,15892224;12,3001866;
ER;ROS DEL TALA;2008;152;148,96;2,3;342,608;LA NIÑA;Dec;80,83778956;12,33527964;
S LP;SANTA ROSA;2008;167;161,99;1,2;194,388;LA NIÑA;Dec;78,79822547;13,30237142;
N LP;GRAL PICO;2008;75;74,25;2;148,5;LA NIÑA;Dec;76,64172868;13,41062621;
C BA;BRAGADO;2009;45;44,55;4,6;204,93;EL NIÑO;April;78,01458668;12,05686005;
C BA;BOLIVAR;2009;63;62,37;3,7;230,769;EL NIÑO;April;77,45;12,7;
SW BA;B BLANCA;2009;240;192;1,5;288;EL NIÑO;April;80,61910206;11,0850925;
N BA;JUNIN;2009;70;70;4,5;315;EL NIÑO;April;76,96307739;11,35190363;
W BA;LINCOLN;2009;110;104,5;2,7;282,15;EL NIÑO;April;77,45;12,1;
N BA;PERGAMINO;2009;62;62;4,8;297,6;EL NIÑO;April;78,4;11,43927083;
SW BA;PIGUE;2009;270;229,5;1,3;298,35;EL NIÑO;April;78,78238606;13,97473359;
C BA;SALIQUELLO;2009;100;90;1,5;135;EL NIÑO;April;79,46332792;13,95975497;
SE BA;TANDIL;2009;350;350;4,5;1575;EL NIÑO;April;80,5692611;11,83204909;
SE BA;TRES ARROYOS;2009;750;742,5;2,5;1856,25;EL NIÑO;April;80,34347751;13,10848896;
S SFE;CASILDA;2009;60;60;3,8;228;EL NIÑO;April;75,317145;11,91685927;
C SFE;CDA GOMEZ;2009;74;74;3,2;236,8;EL NIÑO;April;78,26145077;11,83691322;
N SFE;RAFAELA;2009;76;75,24;2,8;210,672;EL NIÑO;April;77,64978711;12,27696412;
N SFE;AVELLANEDA;2009;17;16,49;1,1;18,139;EL NIÑO;April;81,64589955;12,17533289;
S SFE;VDO TUERTO;2009;82;82;3,5;287;EL NIÑO;April;76,83333333;12,06666667;
S CBA;LABOULAYE;2009;52;44,2;1,2;53,04;EL NIÑO;April;76,1;13,74406365;
E CBA;M JUAREZ;2009;100;93;2,4;223,2;EL NIÑO;April;76,94926353;13,03832935;
S CBA;RIO IV;2009;60;51;1,4;71,4;EL NIÑO;April;77,52309046;11,58585346;
N CBA;S FRANCISCO;2009;66;59,4;1;59,4;EL NIÑO;April;74,86913333;13,12135241;
C CBA;VILLA MARIA;2009;64;57,6;1,2;69,12;EL NIÑO;April;75,37715804;13,5;
ER;PARANA;2009;127;125,73;3,85;484,0605;EL NIÑO;April;79,34580752;10,85431739;
ER;ROS DEL TALA;2009;200;196;3,85;754,6;EL NIÑO;April;78,5913697;10,57294976;
S LP;SANTA ROSA;2009;70;63;1,1;69,3;EL NIÑO;April;78,66414418;13,4790249;
N LP;GRAL PICO;2009;35;33,6;1,4;47,04;EL NIÑO;April;77,7175155;14,07077281;
C BA;BRAGADO;2009;45;44,55;4,6;204,93;EL NIÑO;May;78,01458668;12,05686005;
C BA;BOLIVAR;2009;63;62,37;3,7;230,769;EL NIÑO;May;77,45;12,7;
SW BA;B BLANCA;2009;240;192;1,5;288;EL NIÑO;May;80,61910206;11,0850925;
N BA;JUNIN;2009;70;70;4,5;315;EL NIÑO;May;76,96307739;11,35190363;
W BA;LINCOLN;2009;110;104,5;2,7;282,15;EL NIÑO;May;77,45;12,1;
N BA;PERGAMINO;2009;62;62;4,8;297,6;EL NIÑO;May;78,4;11,43927083;
SW BA;PIGUE;2009;270;229,5;1,3;298,35;EL NIÑO;May;78,78238606;13,97473359;
C BA;SALIQUELLO;2009;100;90;1,5;135;EL NIÑO;May;79,46332792;13,95975497;
SE BA;TANDIL;2009;350;350;4,5;1575;EL NIÑO;May;80,5692611;11,83204909;
SE BA;TRES ARROYOS;2009;750;742,5;2,5;1856,25;EL NIÑO;May;80,34347751;13,10848896;
S SFE;CASILDA;2009;60;60;3,8;228;EL NIÑO;May;75,317145;11,91685927;
C SFE;CDA GOMEZ;2009;74;74;3,2;236,8;EL NIÑO;May;78,26145077;11,83691322;
N SFE;RAFAELA;2009;76;75,24;2,8;210,672;EL NIÑO;May;77,64978711;12,27696412;
N SFE;AVELLANEDA;2009;17;16,49;1,1;18,139;EL NIÑO;May;81,64589955;12,17533289;
S SFE;VDO TUERTO;2009;82;82;3,5;287;EL NIÑO;May;76,83333333;12,06666667;
S CBA;LABOULAYE;2009;52;44,2;1,2;53,04;EL NIÑO;May;76,1;13,74406365;
E CBA;M JUAREZ;2009;100;93;2,4;223,2;EL NIÑO;May;76,94926353;13,03832935;
S CBA;RIO IV;2009;60;51;1,4;71,4;EL NIÑO;May;77,52309046;11,58585346;
N CBA;S FRANCISCO;2009;66;59,4;1;59,4;EL NIÑO;May;74,86913333;13,12135241;
C CBA;VILLA MARIA;2009;64;57,6;1,2;69,12;EL NIÑO;May;75,37715804;13,5;
ER;PARANA;2009;127;125,73;3,85;484,0605;EL NIÑO;May;79,34580752;10,85431739;
ER;ROS DEL TALA;2009;200;196;3,85;754,6;EL NIÑO;May;78,5913697;10,57294976;
S LP;SANTA ROSA;2009;70;63;1,1;69,3;EL NIÑO;May;78,66414418;13,4790249;
N LP;GRAL PICO;2009;35;33,6;1,4;47,04;EL NIÑO;May;77,7175155;14,07077281;
C BA;BRAGADO;2009;45;44,55;4,6;204,93;EL NIÑO;June;78,01458668;12,05686005;
C BA;BOLIVAR;2009;63;62,37;3,7;230,769;EL NIÑO;June;77,45;12,7;
SW BA;B BLANCA;2009;240;192;1,5;288;EL NIÑO;June;80,61910206;11,0850925;
N BA;JUNIN;2009;70;70;4,5;315;EL NIÑO;June;76,96307739;11,35190363;
W BA;LINCOLN;2009;110;104,5;2,7;282,15;EL NIÑO;June;77,45;12,1;
N BA;PERGAMINO;2009;62;62;4,8;297,6;EL NIÑO;June;78,4;11,43927083;
SW BA;PIGUE;2009;270;229,5;1,3;298,35;EL NIÑO;June;78,78238606;13,97473359;
C BA;SALIQUELLO;2009;100;90;1,5;135;EL NIÑO;June;79,46332792;13,95975497;
SE BA;TANDIL;2009;350;350;4,5;1575;EL NIÑO;June;80,5692611;11,83204909;
SE BA;TRES ARROYOS;2009;750;742,5;2,5;1856,25;EL NIÑO;June;80,34347751;13,10848896;
S SFE;CASILDA;2009;60;60;3,8;228;EL NIÑO;June;75,317145;11,91685927;
C SFE;CDA GOMEZ;2009;74;74;3,2;236,8;EL NIÑO;June;78,26145077;11,83691322;
N SFE;RAFAELA;2009;76;75,24;2,8;210,672;EL NIÑO;June;77,64978711;12,27696412;
N SFE;AVELLANEDA;2009;17;16,49;1,1;18,139;EL NIÑO;June;81,64589955;12,17533289;
S SFE;VDO TUERTO;2009;82;82;3,5;287;EL NIÑO;June;76,83333333;12,06666667;
S CBA;LABOULAYE;2009;52;44,2;1,2;53,04;EL NIÑO;June;76,1;13,74406365;
E CBA;M JUAREZ;2009;100;93;2,4;223,2;EL NIÑO;June;76,94926353;13,03832935;
S CBA;RIO IV;2009;60;51;1,4;71,4;EL NIÑO;June;77,52309046;11,58585346;
N CBA;S FRANCISCO;2009;66;59,4;1;59,4;EL NIÑO;June;74,86913333;13,12135241;
C CBA;VILLA MARIA;2009;64;57,6;1,2;69,12;EL NIÑO;June;75,37715804;13,5;
ER;PARANA;2009;127;125,73;3,85;484,0605;EL NIÑO;June;79,34580752;10,85431739;
ER;ROS DEL TALA;2009;200;196;3,85;754,6;EL NIÑO;June;78,5913697;10,57294976;
S LP;SANTA ROSA;2009;70;63;1,1;69,3;EL NIÑO;June;78,66414418;13,4790249;
N LP;GRAL PICO;2009;35;33,6;1,4;47,04;EL NIÑO;June;77,7175155;14,07077281;
C BA;BRAGADO;2009;45;44,55;4,6;204,93;EL NIÑO;Jul;78,01458668;12,05686005;
C BA;BOLIVAR;2009;63;62,37;3,7;230,769;EL NIÑO;Jul;77,45;12,7;
SW BA;B BLANCA;2009;240;192;1,5;288;EL NIÑO;Jul;80,61910206;11,0850925;
N BA;JUNIN;2009;70;70;4,5;315;EL NIÑO;Jul;76,96307739;11,35190363;
W BA;LINCOLN;2009;110;104,5;2,7;282,15;EL NIÑO;Jul;77,45;12,1;
N BA;PERGAMINO;2009;62;62;4,8;297,6;EL NIÑO;Jul;78,4;11,43927083;
SW BA;PIGUE;2009;270;229,5;1,3;298,35;EL NIÑO;Jul;78,78238606;13,97473359;
C BA;SALIQUELLO;2009;100;90;1,5;135;EL NIÑO;Jul;79,46332792;13,95975497;
SE BA;TANDIL;2009;350;350;4,5;1575;EL NIÑO;Jul;80,5692611;11,83204909;
SE BA;TRES ARROYOS;2009;750;742,5;2,5;1856,25;EL NIÑO;Jul;80,34347751;13,10848896;
S SFE;CASILDA;2009;60;60;3,8;228;EL NIÑO;Jul;75,317145;11,91685927;
C SFE;CDA GOMEZ;2009;74;74;3,2;236,8;EL NIÑO;Jul;78,26145077;11,83691322;
N SFE;RAFAELA;2009;76;75,24;2,8;210,672;EL NIÑO;Jul;77,64978711;12,27696412;
N SFE;AVELLANEDA;2009;17;16,49;1,1;18,139;EL NIÑO;Jul;81,64589955;12,17533289;
S SFE;VDO TUERTO;2009;82;82;3,5;287;EL NIÑO;Jul;76,83333333;12,06666667;
S CBA;LABOULAYE;2009;52;44,2;1,2;53,04;EL NIÑO;Jul;76,1;13,74406365;
E CBA;M JUAREZ;2009;100;93;2,4;223,2;EL NIÑO;Jul;76,94926353;13,03832935;
S CBA;RIO IV;2009;60;51;1,4;71,4;EL NIÑO;Jul;77,52309046;11,58585346;
N CBA;S FRANCISCO;2009;66;59,4;1;59,4;EL NIÑO;Jul;74,86913333;13,12135241;
C CBA;VILLA MARIA;2009;64;57,6;1,2;69,12;EL NIÑO;Jul;75,37715804;13,5;
ER;PARANA;2009;127;125,73;3,85;484,0605;EL NIÑO;Jul;79,34580752;10,85431739;
ER;ROS DEL TALA;2009;200;196;3,85;754,6;EL NIÑO;Jul;78,5913697;10,57294976;
S LP;SANTA ROSA;2009;70;63;1,1;69,3;EL NIÑO;Jul;78,66414418;13,4790249;
N LP;GRAL PICO;2009;35;33,6;1,4;47,04;EL NIÑO;Jul;77,7175155;14,07077281;
C BA;BRAGADO;2009;45;44,55;4,6;204,93;EL NIÑO;Aug;78,01458668;12,05686005;
C BA;BOLIVAR;2009;63;62,37;3,7;230,769;EL NIÑO;Aug;77,45;12,7;
SW BA;B BLANCA;2009;240;192;1,5;288;EL NIÑO;Aug;80,61910206;11,0850925;
N BA;JUNIN;2009;70;70;4,5;315;EL NIÑO;Aug;76,96307739;11,35190363;
W BA;LINCOLN;2009;110;104,5;2,7;282,15;EL NIÑO;Aug;77,45;12,1;
N BA;PERGAMINO;2009;62;62;4,8;297,6;EL NIÑO;Aug;78,4;11,43927083;
SW BA;PIGUE;2009;270;229,5;1,3;298,35;EL NIÑO;Aug;78,78238606;13,97473359;
C BA;SALIQUELLO;2009;100;90;1,5;135;EL NIÑO;Aug;79,46332792;13,95975497;
SE BA;TANDIL;2009;350;350;4,5;1575;EL NIÑO;Aug;80,5692611;11,83204909;
SE BA;TRES ARROYOS;2009;750;742,5;2,5;1856,25;EL NIÑO;Aug;80,34347751;13,10848896;
